congressional_district,County Name,Grade Band,Offers CS?,School District Name,School Id,School Name,School Type (group),Grades Hi,Grades Lo,Gradespan,School Type,School Year,Stage El,Stage Hi,Stage Mi,State,State name,Teaches Cs,Students - Asian,Students - Black,Students - Native American,Students - Hispanic/Latinx,Students - Pacific Islander,Students - Two or More Races,Students - White,urban_rural,Latitude,Longitude,num_students
1,Hampden County,12-Sep,No,SPRINGFIELD,2.51E+11,GATEWAY TO COLLEGE AT SPRINGFIELD TECHNICAL COMMUNITY COLLEG,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,No,0,1.428571429,0,2.571428571,0,0.142857143,1.857142857,Urban,42.108854,-72.57859,42
4,Bristol County,12-Sep,Yes,SOMERSET BERKLEY REGIONAL SCHOOL DISTRICT,2.50E+11,SOMERSET BERKLEY REGIONAL HIGH SCHOOL,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,Yes,1.714285714,1.857142857,0.285714286,6.285714286,0.285714286,1.714285714,134.4285714,Urban,41.742455,-71.150265,1026
2,Worcester County,12-Sep,No,LEOMINSTER,2.51E+11,LEOMINSTER CENTER FOR EXCELLENCE,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,No,0,0.142857143,0,1.714285714,0,0.142857143,4,Urban,42.53159,-71.778128,43
2,Worcester County,Mixed,Yes,WORCESTER,2.51E+11,UNIVERSITY PK CAMPUS SCHOOL,public & charter,12,7,12-Jul,public,2019,0,1,1,MA,Massachusetts,Yes,6.571428571,4.714285714,0.142857143,18.85714286,0,1.714285714,3,Urban,42.246912,-71.825192,245
3,Worcester County,12-Sep,Yes,LUNENBURG,2.51E+11,LUNENBURG HIGH,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,Yes,1.142857143,1.428571429,0.571428571,4.142857143,0.285714286,1,56,Urban,42.599267,-71.720472,452
4,Norfolk County,12-Sep,Yes,MILLIS,2.51E+11,MILLIS HIGH SCHOOL,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,Yes,1.571428571,0.857142857,0,3.714285714,0.142857143,0.571428571,40.71428571,Urban,42.162639,-71.35774,333
9,Bristol County,12-Sep,Yes,DARTMOUTH,2.50E+11,DARTMOUTH HIGH,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,Yes,0.285714286,3.285714286,0,6.142857143,0,11.71428571,127,Urban,41.59391,-70.97837,1039
9,Plymouth County,12-Sep,Yes,SOUTH SHORE REGIONAL VOCATIONAL TECHNICAL,2.51E+11,SO SHORE VOCATIONAL TECHNICAL HIGH,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,Yes,1,1.571428571,0.285714286,4.714285714,0,2.142857143,81.42857143,Urban,42.14786,-70.8632,638
7,Suffolk County,12-Sep,No,CITY ON A HILL CHARTER PUBLIC SCHOOL CIRCUIT STREET (DISTRIC,2.50E+11,CITY ON A HILL CHARTER PUBLIC SCHOOL CIRCUIT STREET,public & charter,12,9,12-Sep,charter,2019,0,1,0,MA,Massachusetts,No,0,0,0,0,0,0,0,Urban,42.323741,-71.0879,
6,Middlesex County,Mixed,Yes,BURLINGTON,2.50E+11,BURLINGTON HIGH,public & charter,12,9,12-Sep,public,2019,1,1,0,MA,Massachusetts,Yes,23,10,0.714285714,10.71428571,0,5.571428571,99.42857143,Urban,42.495944,-71.198167,1046
7,Suffolk County,Mixed,No,BOSTON,2.50E+11,QUINCY UPPER SCHOOL,public & charter,12,6,12-Jun,public,2019,0,1,1,MA,Massachusetts,No,37.42857143,15.71428571,0.142857143,17.85714286,0,2,3,Urban,42.348369,-71.06893,533
9,Barnstable County,Mixed,Yes,DENNIS-YARMOUTH,2.50E+11,DENNIS-YARMOUTH REGIONAL HIGH,public & charter,12,8,12-Aug,public,2019,0,1,1,MA,Massachusetts,Yes,3.428571429,13.85714286,2.428571429,19,0,6.857142857,88.28571429,Urban,41.677336,-70.194188,937
2,Hampshire County,12-Sep,Yes,AMHERST-PELHAM,2.50E+11,AMHERST REGIONAL HIGH,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,Yes,12.71428571,10.71428571,0.142857143,22.14285714,0.142857143,12.42857143,72.71428571,Urban,42.380755,-72.512846,920
6,Essex County,12-Sep,Yes,TRITON,2.51E+11,TRITON REGIONAL HIGH SCHOOL,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,Yes,1.857142857,1.285714286,0.285714286,3.571428571,0.142857143,1.285714286,88.85714286,Rural,42.744007,-70.919475,682
6,Essex County,12-Sep,Yes,GEORGETOWN,2.51E+11,GEORGETOWN HIGH SCHOOL,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,Yes,0.714285714,0.571428571,0,1.428571429,0,0.857142857,50.42857143,Urban,42.724119,-70.986499,378
9,Bristol County,Mixed,Yes,NEW BEDFORD,2.51E+11,TRINITY DAY ACADEMY,public & charter,12,4,12-Apr,public,2019,1,1,1,MA,Massachusetts,Yes,0,1.714285714,0,4.285714286,0,1.285714286,6,Urban,41.638919,-70.937008,93
2,Worcester County,12-Sep,Yes,LEOMINSTER,2.51E+11,CENTER FOR TECHNICAL EDUCATION INNOVATION,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,Yes,3,8.714285714,0,36.28571429,0.428571429,3.571428571,51.14285714,Urban,42.532321,-71.777938,722
